FID,省份,贫困县名,X,Y,地址类型,脱贫时间
0,安徽,砀山县,116.360406,34.443554,区县,2019年4月29日正式退出
1,安徽,阜南县,115.5907159,32.66044559,区县,2020年4月29日正式退出
2,安徽,霍邱县,116.2727635,32.35509946,区县,2020年4月29日正式退出
3,安徽,金寨县,115.928898,31.72937673,区县,2020年4月29日正式退出
4,安徽,利辛县,116.1795981,33.15117522,区县,2019年4月29日正式退出
5,安徽,临泉县,115.2554418,33.0421347,区县,2020年4月29日正式退出
6,安徽,灵璧县,117.5524648,33.54374142,区县,2019年4月29日正式退出
7,安徽,潜山市,116.5761419,30.63369252,区县,2019年4月29日正式退出
8,安徽,石台县,117.4805553,30.21265397,区县,2020年4月29日正式退出
9,安徽,寿县,116.7937366,32.55781923,区县,2019年4月29日正式退出
10,安徽,舒城县,116.9438679,31.46414473,区县,2019年4月29日正式退出
11,安徽,泗县,117.904603,33.48469649,区县,2019年4月29日正式退出
12,安徽,宿松县,116.1237357,30.15615171,区县,2019年4月29日正式退出
13,安徽,太湖县,116.3038848,30.45651863,区县,2020年4月29日正式退出
14,安徽,望江县,116.6890077,30.12686467,区县,2020年4月29日正式退出
15,安徽,萧县,116.9416201,34.1900629,区县,2020年4月29日正式退出
16,安徽,颍东区,115.8517377,32.91376185,区县,2020年4月29日正式退出
17,安徽,颍上县,116.2517466,32.65495066,区县,2019年4月29日正式退出
18,安徽,裕安区,116.4747836,31.73974769,区县,2019年4月29日正式退出
19,安徽,岳西县,116.3547526,30.85155509,区县,2018年8月17日正式退出
20,甘肃,安定区,104.6073616,35.58015743,区县,2020年3月3日正式退出
21,甘肃,成县,105.7381003,33.75212666,区县,2019年4月29日正式退出
22,甘肃,宕昌县,104.3901726,34.04860082,区县,2020年11月21日正式退出
23,甘肃,迭部县,103.2198376,34.05748515,区县,2019年4月29日正式退出
24,甘肃,东乡县,116.5983327,28.2515913,区县,2020年11月21日正式退出
25,甘肃,甘谷县,105.3321939,34.73327022,区县,2019年4月29日正式退出
26,甘肃,皋兰县,103.9446023,36.33239145,区县,2018年10月10日正式退出
27,甘肃,古浪县,102.8951836,37.46983095,区县,2020年3月3日正式退出
28,甘肃,广河县,103.5737887,35.48852661,区县,2020年3月3日正式退出
29,甘肃,合水县,108.0150823,35.81924222,区县,2020年3月3日正式退出
30,甘肃,合作市,102.9092768,35.00131874,区县,2018年10月10日正式退出
31,甘肃,和政县,103.3485336,35.42496945,区县,2020年3月3日正式退出
32,甘肃,华池县,107.9851253,36.46135496,区县,2020年3月3日正式退出
33,甘肃,环县,107.3030159,36.56832874,区县,2020年3月3日正式退出
34,甘肃,徽县,103.3864421,35.66376977,区县,2019年4月29日正式退出
35,甘肃,会宁县,105.0494285,35.69296934,区县,2020年3月3日正式退出
36,甘肃,积石山县,102.8742577,35.71810799,区县,2020年3月3日正式退出
37,甘肃,泾川县,107.3629676,35.33304726,区县,2019年4月29日正式退出
38,甘肃,景泰县,104.0601596,37.1807906,区县,2019年4月29日正式退出
39,甘肃,靖远县,104.6731201,36.57132431,区县,2020年3月3日正式退出
40,甘肃,静宁县,105.7279862,35.52239584,区县,2020年3月3日正式退出
41,甘肃,康乐县,103.706571,35.37067377,区县,2020年3月3日正式退出
